created_at_tz,confidence_mean,confidence_std,count,positive_mean,negative_mean,count_positive,count_negative,count_neutral
2022-05-08 00:00:00+02:00,0.08345873460103315,0.7219823830022167,3,0.44126045615879944,-0.6321447085144994,2,1,
2022-05-09 00:00:00+02:00,0.09905718180351614,0.224759221292615,11,0.3182803418036584,-0.061164122458652104,4,3,4.0
2022-05-10 00:00:00+02:00,0.2613714789449286,0.40818711279228115,5,0.6534286973623216,,2,0,3.0
2022-05-11 00:00:00+02:00,-0.1032965679481046,0.33994914902296386,9,0.6595744444773353,-0.3178487112020553,1,5,3.0
